experiment,method,static_adj_precision,static_adj_recall,static_adj_f1,static_ori_precision,static_ori_recall,static_ori_f1,runtime_s
actuators_random_walk_4,TS-FGES,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.2222222222222222,0.3076923076923077,0.2580645161290323,4.6546149253845215
actuators_random_walk_5,TS-BOSS,0.32727272727272727,0.6923076923076923,0.4444444444444444,0.29411764705882354,0.5769230769230769,0.3896103896103896,415.72880005836487
actuators_random_walk_5,PCMCI+,0.3684210526315789,0.2692307692307692,0.3111111111111111,0.3684210526315789,0.2692307692307692,0.3111111111111111,41.131617069244385
actuators_random_walk_5,DYNOTEARS,0.2727272727272727,0.11538461538461539,0.16216216216216214,0.05263157894736842,0.038461538461538464,0.044444444444444446,1.2770929336547852
actuators_random_walk_5,TS-FGES,0.46875,0.5769230769230769,0.5172413793103449,0.2926829268292683,0.46153846153846156,0.35820895522388063,4.462500095367432
actuators_random_walk_6,TS-BOSS,0.29411764705882354,0.5769230769230769,0.3896103896103896,0.21153846153846154,0.4230769230769231,0.28205128205128205,472.32787895202637
actuators_random_walk_6,PCMCI+,0.375,0.34615384615384615,0.35999999999999993,0.25,0.15384615384615385,0.1904761904761905,33.771366119384766
actuators_random_walk_6,DYNOTEARS,0.2222222222222222,0.07692307692307693,0.1142857142857143,0.0,0.0,0.0,1.724743127822876
actuators_random_walk_6,TS-FGES,0.2727272727272727,0.34615384615384615,0.3050847457627119,0.16363636363636364,0.34615384615384615,0.2222222222222222,4.592089891433716
actuators_random_walk_7,TS-BOSS,0.2978723404255319,0.5384615384615384,0.3835616438356164,0.3,0.46153846153846156,0.3636363636363637,333.53503680229187
actuators_random_walk_7,PCMCI+,0.32,0.3076923076923077,0.3137254901960784,0.125,0.11538461538461539,0.12000000000000001,76.71204614639282
actuators_random_walk_7,DYNOTEARS,0.2727272727272727,0.11538461538461539,0.16216216216216214,0.05263157894736842,0.038461538461538464,0.044444444444444446,1.1465368270874023
actuators_random_walk_7,TS-FGES,0.3870967741935484,0.46153846153846156,0.42105263157894735,0.2682926829268293,0.4230769230769231,0.3283582089552239,4.96835994720459
actuators_random_walk_8,TS-BOSS,0.26229508196721313,0.6153846153846154,0.367816091954023,0.17647058823529413,0.46153846153846156,0.25531914893617025,364.8828167915344
actuators_random_walk_8,PCMCI+,0.3333333333333333,0.3076923076923077,0.32,0.6,0.23076923076923078,0.33333333333333337,57.642415046691895
actuators_random_walk_8,DYNOTEARS,0.23076923076923078,0.11538461538461539,0.15384615384615388,0.043478260869565216,0.038461538461538464,0.04081632653061224,0.6232528686523438
actuators_random_walk_8,TS-FGES,0.3333333333333333,0.3076923076923077,0.32,0.21212121212121213,0.2692307692307692,0.23728813559322037,4.610785961151123
actuators_random_walk_9,TS-BOSS,0.3076923076923077,0.6153846153846154,0.4102564102564103,0.23076923076923078,0.46153846153846156,0.30769230769230776,334.4573941230774
actuators_random_walk_9,PCMCI+,0.3333333333333333,0.3076923076923077,0.32,0.2857142857142857,0.23076923076923078,0.25531914893617025,58.35558795928955
actuators_random_walk_9,DYNOTEARS,0.2222222222222222,0.07692307692307693,0.1142857142857143,0.0,0.0,0.0,1.376481056213379
actuators_random_walk_9,TS-FGES,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.3142857142857143,0.4230769230769231,0.360655737704918,4.50553297996521
actuators_random_walk_10,TS-BOSS,0.3269230769230769,0.6538461538461539,0.4358974358974359,0.22916666666666666,0.4230769230769231,0.29729729729729726,264.28807497024536
actuators_random_walk_10,PCMCI+,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.4,0.23076923076923078,0.29268292682926833,184.86909985542297
actuators_random_walk_10,DYNOTEARS,0.2857142857142857,0.07692307692307693,0.12121212121212123,0.0,0.0,0.0,0.4884359836578369
actuators_random_walk_10,TS-FGES,0.4827586206896552,0.5384615384615384,0.509090909090909,0.2894736842105263,0.4230769230769231,0.34375,4.857008934020996
actuators_random_walk_11,TS-BOSS,0.3137254901960784,0.6153846153846154,0.4155844155844156,0.23529411764705882,0.46153846153846156,0.31168831168831174,362.9925320148468
actuators_random_walk_11,PCMCI+,0.2608695652173913,0.23076923076923078,0.24489795918367346,0.2222222222222222,0.07692307692307693,0.1142857142857143,122.25177431106567
actuators_random_walk_11,DYNOTEARS,0.23076923076923078,0.11538461538461539,0.15384615384615388,0.043478260869565216,0.038461538461538464,0.04081632653061224,1.0039491653442383
actuators_random_walk_11,TS-FGES,0.3870967741935484,0.46153846153846156,0.42105263157894735,0.24444444444444444,0.4230769230769231,0.30985915492957744,5.108525037765503
actuators_random_walk_12,TS-BOSS,0.3829787234042553,0.6923076923076923,0.4931506849315068,0.25,0.38461538461538464,0.30303030303030304,352.60621404647827
actuators_random_walk_12,PCMCI+,0.3181818181818182,0.2692307692307692,0.2916666666666667,0.4444444444444444,0.15384615384615385,0.2285714285714286,104.04227924346924
actuators_random_walk_12,DYNOTEARS,0.2,0.11538461538461539,0.14634146341463417,0.037037037037037035,0.038461538461538464,0.03773584905660377,0.726391077041626
actuators_random_walk_12,TS-FGES,0.3,0.34615384615384615,0.32142857142857145,0.1951219512195122,0.3076923076923077,0.23880597014925378,4.452063083648682
actuators_random_walk_13,TS-BOSS,0.3050847457627119,0.6923076923076923,0.4235294117647059,0.16176470588235295,0.4230769230769231,0.23404255319148937,611.6601059436798
actuators_random_walk_13,PCMCI+,0.3,0.23076923076923078,0.2608695652173913,0.4,0.15384615384615385,0.2222222222222222,32.427894115448
actuators_random_walk_13,DYNOTEARS,0.2222222222222222,0.07692307692307693,0.1142857142857143,0.0,0.0,0.0,0.6878089904785156
actuators_random_walk_13,TS-FGES,0.2727272727272727,0.34615384615384615,0.3050847457627119,0.1346153846153846,0.2692307692307692,0.17948717948717946,4.448218822479248
actuators_random_walk_14,TS-BOSS,0.37037037037037035,0.7692307692307693,0.5,0.2982456140350877,0.6538461538461539,0.40963855421686746,324.20264887809753
actuators_random_walk_14,PCMCI+,0.3793103448275862,0.4230769230769231,0.4,0.47368421052631576,0.34615384615384615,0.39999999999999997,62.385233879089355
actuators_random_walk_14,DYNOTEARS,0.25,0.11538461538461539,0.15789473684210525,0.0,0.0,0.0,0.6789801120758057
actuators_random_walk_14,TS-FGES,0.4444444444444444,0.6153846153846154,0.5161290322580646,0.32608695652173914,0.5769230769230769,0.41666666666666663,4.830894947052002
actuators_random_walk_15,TS-BOSS,0.2857142857142857,0.5384615384615384,0.3733333333333333,0.21739130434782608,0.38461538461538464,0.27777777777777773,429.18007493019104
actuators_random_walk_15,PCMCI+,0.19047619047619047,0.15384615384615385,0.1702127659574468,0.23076923076923078,0.11538461538461539,0.15384615384615388,38.151424169540405
actuators_random_walk_15,DYNOTEARS,0.25,0.07692307692307693,0.11764705882352941,0.0,0.0,0.0,0.23031091690063477
actuators_random_walk_15,TS-FGES,0.5,0.5,0.5,0.3333333333333333,0.4230769230769231,0.3728813559322034,4.5849151611328125
actuators_random_walk_16,TS-BOSS,0.2830188679245283,0.5769230769230769,0.379746835443038,0.1774193548387097,0.4230769230769231,0.25,572.9021768569946
actuators_random_walk_16,PCMCI+,0.24,0.23076923076923078,0.23529411764705882,0.25,0.19230769230769232,0.2173913043478261,65.45112919807434
actuators_random_walk_16,DYNOTEARS,0.23076923076923078,0.11538461538461539,0.15384615384615388,0.043478260869565216,0.038461538461538464,0.04081632653061224,0.46089601516723633
actuators_random_walk_16,TS-FGES,0.4642857142857143,0.5,0.4814814814814815,0.2894736842105263,0.4230769230769231,0.34375,4.999417066574097
