N_nodes,T,degree,autocorrelation,tau_max_true,lag_max,repetition,graph_seed,method,peak_rss_mib,runtime_s
5,1000,1.5,0.3,3,3,9,45105131,dynotears,150.234375,0.528013542003464
5,1000,1.5,0.3,3,3,9,45105131,tsfges,170.90625,0.3567672089993721
5,1000,1.5,0.3,3,3,9,45105131,tsboss_iid,33.171875,0.014667208997707348
5,1000,1.5,0.3,3,3,10,45105132,tsboss,92.25,0.2621487500000512
5,1000,1.5,0.3,3,3,10,45105132,pcmci,98.265625,0.30655879199912306
5,1000,1.5,0.3,3,3,10,45105132,dynotears,150.296875,0.5143151250013034
5,1000,1.5,0.3,3,3,10,45105132,tsfges,164.703125,0.3353733749972889
5,1000,1.5,0.3,3,3,10,45105132,tsboss_iid,33.296875,0.011634417001914699
7,1000,1.5,0.3,3,3,1,45107123,tsboss,92.34375,0.2726480410055956
7,1000,1.5,0.3,3,3,1,45107123,pcmci,98.625,0.3415715840019402
7,1000,1.5,0.3,3,3,1,45107123,dynotears,150.125,0.5464359590041568
7,1000,1.5,0.3,3,3,1,45107123,tsfges,174.125,0.38305991599918343
7,1000,1.5,0.3,3,3,1,45107123,tsboss_iid,33.4375,0.021209584003372584
7,1000,1.5,0.3,3,3,2,45107124,tsboss,92.34375,0.2607262500023353
7,1000,1.5,0.3,3,3,2,45107124,pcmci,98.71875,0.33492587500222726
7,1000,1.5,0.3,3,3,2,45107124,dynotears,150.171875,0.532474416999321
7,1000,1.5,0.3,3,3,2,45107124,tsfges,174.140625,0.3655552079944755
7,1000,1.5,0.3,3,3,2,45107124,tsboss_iid,33.59375,0.01518404200032819
7,1000,1.5,0.3,3,3,3,45107125,tsboss,92.34375,0.2660125420006807
7,1000,1.5,0.3,3,3,3,45107125,pcmci,98.46875,0.3468392080030753
7,1000,1.5,0.3,3,3,3,45107125,dynotears,150.59375,0.5347755839975434
7,1000,1.5,0.3,3,3,3,45107125,tsfges,169.140625,0.3535967499992694
7,1000,1.5,0.3,3,3,3,45107125,tsboss_iid,33.5,0.015932374997646548
7,1000,1.5,0.3,3,3,4,45107126,tsboss,92.21875,0.2650089590024436
7,1000,1.5,0.3,3,3,4,45107126,pcmci,98.875,0.36656145899905823
7,1000,1.5,0.3,3,3,4,45107126,dynotears,150.28125,0.5402781250013504
7,1000,1.5,0.3,3,3,4,45107126,tsfges,171.71875,0.35329674999957206
7,1000,1.5,0.3,3,3,4,45107126,tsboss_iid,33.65625,0.02591250000114087
7,1000,1.5,0.3,3,3,5,45107127,tsboss,92.359375,0.2652412919997005
7,1000,1.5,0.3,3,3,5,45107127,pcmci,98.75,0.3422309160014265
7,1000,1.5,0.3,3,3,5,45107127,dynotears,150.09375,0.5411706250015413
7,1000,1.5,0.3,3,3,5,45107127,tsfges,171.90625,0.36965654200321296
7,1000,1.5,0.3,3,3,5,45107127,tsboss_iid,33.53125,0.017949790999409743
7,1000,1.5,0.3,3,3,6,45107128,tsboss,92.234375,0.2723649170002318
7,1000,1.5,0.3,3,3,6,45107128,pcmci,98.703125,0.3468859999993583
7,1000,1.5,0.3,3,3,6,45107128,dynotears,150.203125,0.5446435839985497
7,1000,1.5,0.3,3,3,6,45107128,tsfges,174.953125,0.36816245799855096
7,1000,1.5,0.3,3,3,6,45107128,tsboss_iid,33.484375,0.019230166006309446
7,1000,1.5,0.3,3,3,7,45107129,tsboss,92.40625,0.26248591700277757
7,1000,1.5,0.3,3,3,7,45107129,pcmci,98.875,0.3413292920013191
7,1000,1.5,0.3,3,3,7,45107129,dynotears,150.15625,0.5344025410013273
7,1000,1.5,0.3,3,3,7,45107129,tsfges,169.828125,0.3506807919984567
7,1000,1.5,0.3,3,3,7,45107129,tsboss_iid,33.53125,0.014868957994622178
7,1000,1.5,0.3,3,3,8,45107130,tsboss,92.21875,0.2626756669997121
7,1000,1.5,0.3,3,3,8,45107130,pcmci,98.84375,0.34114975000557024
7,1000,1.5,0.3,3,3,8,45107130,dynotears,150.109375,0.5339409169973806
7,1000,1.5,0.3,3,3,8,45107130,tsfges,175.609375,0.3699764589982806
7,1000,1.5,0.3,3,3,8,45107130,tsboss_iid,33.578125,0.018377749998762738
7,1000,1.5,0.3,3,3,9,45107131,tsboss,92.46875,0.26931837500160327
7,1000,1.5,0.3,3,3,9,45107131,pcmci,98.78125,0.3449049999981071
7,1000,1.5,0.3,3,3,9,45107131,dynotears,150.53125,0.5433102089955355
7,1000,1.5,0.3,3,3,9,45107131,tsfges,173.875,0.37741437499789754
7,1000,1.5,0.3,3,3,9,45107131,tsboss_iid,33.6875,0.02680599999439437
7,1000,1.5,0.3,3,3,10,45107132,tsboss,92.375,0.2779945410002256
7,1000,1.5,0.3,3,3,10,45107132,pcmci,98.625,0.35079845799918985
7,1000,1.5,0.3,3,3,10,45107132,dynotears,150.453125,0.5425135419936851
7,1000,1.5,0.3,3,3,10,45107132,tsfges,171.640625,0.3495543750032084
7,1000,1.5,0.3,3,3,10,45107132,tsboss_iid,33.453125,0.019272999998065643
10,1000,1.5,0.3,3,3,1,45110123,tsboss,92.453125,0.29490316699957475
10,1000,1.5,0.3,3,3,1,45110123,pcmci,99.15625,0.42086099999869475
10,1000,1.5,0.3,3,3,1,45110123,dynotears,150.4375,0.5956132919964148
10,1000,1.5,0.3,3,3,1,45110123,tsfges,195.640625,0.37544858299952466
10,1000,1.5,0.3,3,3,1,45110123,tsboss_iid,33.84375,0.038509250000061
